弹幕内容,发送位置,发送时间,弹幕类型,弹幕字体大小,发送者id
那个哎呀哎呀哎呀，让我想到了一个up主，芋头……,1分20秒,2023--04--11 10:19:24,普通弹幕,25,351145e3
8888888,0分11秒,2023--04--11 10:02:20,普通弹幕,25,dee428e
8888888,0分31秒,2023--04--11 10:01:59,普通弹幕,25,dee428e
绵羊气笑了,2分52秒,2023--04--11 10:01:53,普通弹幕,25,f5cc0e27
8888888,0分24秒,2023--04--11 10:01:52,普通弹幕,25,dee428e
8,0分39秒,2023--04--11 09:46:31,普通弹幕,25,51548278
888888,0分45秒,2023--04--11 08:57:45,普通弹幕,25,2ca435aa
888888,0分50秒,2023--04--11 08:56:47,普通弹幕,25,81e95ea5
888888,0分38秒,2023--04--11 08:51:28,普通弹幕,25,824b49b8
888888,0分25秒,2023--04--11 08:38:05,普通弹幕,25,5f25a1c3
廣東話：傻嗨嗨,3分46秒,2023--04--11 03:50:27,普通弹幕,25,528f8e1e
888888,0分51秒,2023--04--11 03:08:21,普通弹幕,25,8c7ac2f
888888,0分55秒,2023--04--11 02:56:41,普通弹幕,25,c500eec3
888888,0分27秒,2023--04--11 01:34:33,普通弹幕,25,ccd2056d
外焦里嫩,2分43秒,2023--04--11 01:29:05,顶部弹幕,25,f15d43ce
888888,0分42秒,2023--04--11 01:20:40,普通弹幕,25,e9fc904
888888,0分50秒,2023--04--11 01:18:21,普通弹幕,25,acc2dd33
888888,0分46秒,2023--04--11 01:15:45,普通弹幕,25,4b7027bc
在广东唱这歌会被揍的,3分52秒,2023--04--11 01:08:04,普通弹幕,25,7b25bb2f
这是人类的落日,6分38秒,2023--04--11 01:04:21,普通弹幕,25,590680d4
888888,0分48秒,2023--04--11 00:54:01,普通弹幕,25,52de99ad
888888,0分32秒,2023--04--11 00:46:34,普通弹幕,25,d64b6a57
8,0分29秒,2023--04--11 00:33:29,普通弹幕,25,1583d6ee
888888,0分20秒,2023--04--11 00:20:03,普通弹幕,25,298d931f
888888,0分16秒,2023--04--11 00:18:01,普通弹幕,25,3b5739e2
888888,0分46秒,2023--04--11 00:17:18,普通弹幕,25,4156501f
梦色蛋糕师 起酥的方法,1分47秒,2023--04--11 00:14:07,普通弹幕,25,b34f3bc6
也可能是面粉品牌产地问题,4分19秒,2023--04--11 00:12:15,普通弹幕,25,4418d52f
樱桃小嘴,5分39秒,2023--04--11 00:09:03,普通弹幕,25,99cc8444
88888,0分24秒,2023--04--10 23:58:22,普通弹幕,25,2c3e67fb
888888,0分44秒,2023--04--10 23:54:14,普通弹幕,25,cae0a045
888888,0分23秒,2023--04--10 23:53:33,普通弹幕,25,e624a9fa
哇,5分0秒,2023--04--10 23:53:17,普通弹幕,25,c630831d
好，很有精神,3分1秒,2023--04--10 23:47:47,普通弹幕,25,cf20d12a
8888888,0分28秒,2023--04--10 23:33:45,普通弹幕,25,7a985f5f
888888,0分46秒,2023--04--10 23:30:51,普通弹幕,25,bf84d32c
888888,0分18秒,2023--04--10 23:30:20,普通弹幕,25,be7629e3
8,0分25秒,2023--04--10 23:29:40,普通弹幕,25,be7629e3
这不丑啊看着hao hao c,2分9秒,2023--04--10 23:21:04,普通弹幕,25,7ef55fb0
888888,0分47秒,2023--04--10 23:18:16,普通弹幕,25,63502f4
很有精神,3分0秒,2023--04--10 23:17:20,普通弹幕,25,eab3dd98
888888,0分46秒,2023--04--10 23:13:11,普通弹幕,25,b0e3b04e
888888,0分46秒,2023--04--10 23:10:30,普通弹幕,25,ccee33f9
888888,0分24秒,2023--04--10 23:06:51,普通弹幕,25,d3e99d5
没从桌子上拿起来的时候我还以为是数学大题,6分20秒,2023--04--10 23:03:15,普通弹幕,25,a56c67b0
山  体  滑  坡,5分12秒,2023--04--10 23:02:05,普通弹幕,25,59ab267b
888888,0分58秒,2023--04--10 22:52:29,普通弹幕,25,9bc4d200
888888,0分20秒,2023--04--10 22:49:26,普通弹幕,25,d89bcaa6
888888,0分24秒,2023--04--10 22:43:35,普通弹幕,25,991657c4
加10斤,5分36秒,2023--04--10 22:37:06,普通弹幕,25,889c5275
888888,0分44秒,2023--04--10 22:34:28,普通弹幕,25,78765b5
哈哈哈哈,4分57秒,2023--04--10 22:33:14,普通弹幕,25,bd6fc31f
888888,0分29秒,2023--04--10 22:29:30,普通弹幕,25,e1f2cda2
888888,1分0秒,2023--04--10 22:27:19,普通弹幕,25,eb5e7102
888888,0分18秒,2023--04--10 22:27:06,普通弹幕,25,cae1956a
热量爆炸。,3分35秒,2023--04--10 22:26:30,普通弹幕,25,4fa218c7
8888888,0分22秒,2023--04--10 22:24:21,普通弹幕,25,e10356bd
888888,0分40秒,2023--04--10 22:11:13,普通弹幕,25,435921ed
888888,0分29秒,2023--04--10 22:07:17,普通弹幕,25,489eb9cb
深渊巨口,5分27秒,2023--04--10 22:06:59,普通弹幕,25,f25317b3
888888,0分18秒,2023--04--10 22:04:55,普通弹幕,25,3ec4cc33
8,0分23秒,2023--04--10 21:56:07,普通弹幕,25,f30e7def
小瞧你了,6分28秒,2023--04--10 21:52:30,普通弹幕,25,52d26b8d
我衡中的 天天叠,1分45秒,2023--04--10 21:36:45,普通弹幕,25,4231c95f
8888888,0分17秒,2023--04--10 21:31:23,普通弹幕,25,b0511366
誒,0分15秒,2023--04--10 21:25:48,普通弹幕,25,105cb73f
88888,0分39秒,2023--04--10 21:24:32,普通弹幕,25,70976e6c
88,0分35秒,2023--04--10 21:23:22,普通弹幕,25,e9796b1f
进度条告诉我不简单,0分52秒,2023--04--10 21:22:56,普通弹幕,25,a2bd58d3
感觉还是好难  我们看这就好了,1分0秒,2023--04--10 21:06:56,普通弹幕,25,20e8f7be
 8,0分21秒,2023--04--10 21:05:08,普通弹幕,25,45b049d9
888888,0分17秒,2023--04--10 21:04:58,顶部弹幕,25,a122ccb8
这莫大,0分53秒,2023--04--10 21:04:13,普通弹幕,25,20e8f7be
88888888,0分31秒,2023--04--10 21:02:08,普通弹幕,25,73da7e9d
888888,0分20秒,2023--04--10 21:01:58,普通弹幕,25,2f78081b
8888,0分16秒,2023--04--10 21:01:50,普通弹幕,25,2f78081b
熬夜心脏痛 刚从医院回来,6分51秒,2023--04--10 20:59:27,普通弹幕,25,513ad86
哈哈,5分58秒,2023--04--10 20:54:18,普通弹幕,25,db2e5ebb
Duangduang duang,6分8秒,2023--04--10 20:53:19,普通弹幕,25,f7166cfd
888888,0分19秒,2023--04--10 20:53:18,普通弹幕,25,5837f7df
888888,0分32秒,2023--04--10 20:52:49,普通弹幕,25,15bb872
