弹幕内容,发送位置,发送时间,弹幕类型,弹幕字体大小,发送者id
这充满不羁的眼神,1分5秒,2019--07--31 19:00:47,顶部弹幕,25,34b7af67
牛奶  咖喱  土豆  豌豆  梨  西瓜  咸蛋,0分26秒,2020--05--30 16:32:34,顶部弹幕,25,d6b7f063
败                        者                        食                        尘,0分3秒,2019--10--07 21:05:06,顶部弹幕,25,261e9d6
让 我 独 享 经 验,0分50秒,2019--12--18 13:26:33,顶部弹幕,25,be69965
战术踉跄哈哈哈哈哈哈,0分56秒,2019--08--19 16:50:58,普通弹幕,25,d603c0da
光翼展开,1分15秒,2020--10--04 23:53:59,顶部弹幕,25,78bbd7df
仙人指路                                                                    。,1分3秒,2019--10--04 09:22:21,普通弹幕,25,155357ee
光                   翼                    展                      开,1分17秒,2019--09--30 15:56:36,普通弹幕,25,40e73d9b
战   术   踉   跄,0分59秒,2019--08--24 10:06:19,顶部弹幕,25,103cb542
鲤                    鱼                     打                     挺,1分18秒,2019--11--20 00:22:14,普通弹幕,25,33232310
黄磊早期作品,1分13秒,2020--01--29 10:22:13,顶部弹幕,25,6ddee845
籽    岷    挖    矿,1分23秒,2021--01--09 09:39:01,顶部弹幕,25,5f0cff6
梦开始的地方！！！！！！！！、、,0分24秒,2020--09--02 16:19:51,普通弹幕,25,a8c83e82
仙          人          指          路      仙          人          指          路,0分51秒,2019--11--02 13:16:35,普通弹幕,25,934fbe7
仙                     人                       指                           路,0分38秒,2019--10--07 17:14:26,普通弹幕,25,92ace3e1
                                             3000w了撒花撒花,0分15秒,2019--10--22 22:17:03,顶部弹幕,25,16ce2f20
六       神       归        位,0分9秒,2020--09--12 09:35:33,普通弹幕,25,20a791f7
自                求                    多                    福,0分7秒,2019--10--04 21:05:15,顶部弹幕,25,af96c33f
众          神          归          位,0分6秒,2021--02--07 11:15:11,顶部弹幕,25,ff0c086
66,0分4秒,2021--08--09 16:48:02,普通弹幕,25,abc30075
666,0分4秒,2021--07--31 09:43:37,普通弹幕,25,f84ad73
请 选 择 你 的 英 雄,0分1秒,2020--08--03 17:56:36,顶部弹幕,25,c944f375
截图选老婆,0分47秒,2020--10--01 13:26:09,顶部弹幕,25,d85478b3
守   约   甩   狙,0分54秒,2020--03--16 19:54:40,顶部弹幕,25,a4bce6
物 业 敲 门,1分6秒,2021--04--09 04:08:38,顶部弹幕,25,b49c58ea
普京早期作品,0分11秒,2019--05--29 10:05:44,顶部弹幕,25,26c9015b
牛奶 咖喱 土豆 豌豆 梨 西瓜 咸蛋,0分28秒,2020--10--01 21:05:42,普通弹幕,25,3e5ca43f
普京早期作品,1分9秒,2019--12--22 23:28:14,顶部弹幕,25,9bda9eb1
哈哈，我也想说开头像jojo立，看过来就见有人刷不老妖精了,0分19秒,2019--05--28 22:08:45,普通弹幕,25,88ed78fb
666,0分4秒,2021--08--10 10:28:24,普通弹幕,25,30526a85
苏 联 极 限 单 兵 作 战 计 划,1分1秒,2020--12--19 00:20:55,普通弹幕,25,73502322
圣光灵神，重生之翼，瀚宇星皇，天启帝君，混元天尊，启灵元神,0分18秒,2020--11--07 15:42:16,顶部弹幕,25,6e7f89aa
一  睹  芳  容,1分6秒,2020--01--30 09:41:27,顶部弹幕,25,111fe796
666,0分2秒,2021--08--09 20:27:02,普通弹幕,25,2c6c566b
仙  人   指   路,0分41秒,2021--04--11 13:03:45,顶部弹幕,25,46fc5177
好家伙,1分19秒,2021--08--10 10:25:59,普通弹幕,25,598e0f2c
牛奶  咖喱  土豆  豌豆  梨  西瓜  咸蛋,0分31秒,2021--07--21 11:22:26,普通弹幕,25,8dc1e0a7
《原来你也玩光遇》,1分18秒,2022--02--02 22:09:28,普通弹幕,25,b684eb76
66666,0分1秒,2021--08--14 18:41:17,普通弹幕,25,e4d5ca1a
6666,0分2秒,2021--08--14 00:12:24,普通弹幕,25,2c48ad1f
66666,0分4秒,2021--08--13 14:41:29,普通弹幕,25,2d33599b
666,0分2秒,2021--08--13 13:33:39,普通弹幕,25,c3954bed
6666,0分3秒,2021--08--10 21:18:48,普通弹幕,25,f06b5f96
666,0分4秒,2021--08--12 13:17:30,普通弹幕,25,54b7994
666,0分3秒,2021--08--15 18:17:51,普通弹幕,25,bb98fac3
草,0分25秒,2022--11--22 14:17:16,普通弹幕,25,bd7d2c7e
吴克,0分5秒,2021--11--24 17:37:15,普通弹幕,25,f496aa1
666,0分4秒,2021--08--17 11:44:34,普通弹幕,25,9330ee90
666666,0分2秒,2021--08--16 22:04:42,普通弹幕,25,9bb67f9c
6666,0分7秒,2021--11--21 18:04:41,普通弹幕,25,f7b86c04
666666,0分6秒,2021--08--20 19:45:14,普通弹幕,25,613604e5
牛奶 咖喱 腐乳 豌豆 梨 西瓜 咸蛋,0分32秒,2021--03--26 16:57:47,普通弹幕,25,f8a32b8b
确信,0分38秒,2021--12--11 08:40:09,普通弹幕,25,f02d4f1c
老赛尔号了,0分5秒,2021--08--15 17:43:55,普通弹幕,25,61be3749
666,0分11秒,2023--01--15 18:18:18,普通弹幕,25,48371df5
笑抽了,0分43秒,2023--01--12 00:23:50,普通弹幕,25,2a41ce5a
人才啊！！,0分41秒,2023--01--07 23:15:22,普通弹幕,25,b894f4cd
666,0分5秒,2022--10--20 23:35:41,普通弹幕,25,e94e949c
77,0分9秒,2022--08--16 03:44:23,普通弹幕,25,8c29de2e
66666666,0分9秒,2022--05--02 20:28:23,普通弹幕,25,cea2076b
6666,0分5秒,2022--05--02 14:13:36,普通弹幕,25,888ccde1
老常长老了,0分6秒,2022--02--03 13:37:43,普通弹幕,25,b879fbe1
黄磊老师在线砍价,0分39秒,2023--04--09 14:06:10,普通弹幕,25,2351beda
《托塔李天王》,0分54秒,2023--04--09 11:34:44,普通弹幕,25,6e05adb0
众神归位,0分16秒,2023--04--09 11:02:17,普通弹幕,25,9fc05cb6
众神归位,0分21秒,2023--04--09 10:44:41,普通弹幕,25,a1ca48d2
仙   人    指      路,0分42秒,2023--04--09 08:57:32,普通弹幕,25,ff81ab69
这才是经典,0分35秒,2023--04--09 05:15:55,普通弹幕,25,97f7c8d2
6666,0分27秒,2023--04--09 00:47:03,普通弹幕,25,a3122c0f
牧 童 遥 指 杏 花 村,0分39秒,2023--04--08 23:39:58,顶部弹幕,25,da19665
eeeee,0分0秒,2023--04--08 22:16:58,顶部弹幕,25,140234bd
eeeeeeee,0分49秒,2023--04--08 22:16:36,顶部弹幕,25,140234bd
缺一门 里的家丁队长,1分4秒,2023--04--08 20:27:45,普通弹幕,25,e2d4704f
居然到达了恐怖的一亿播放量,0分5秒,2023--04--08 20:08:10,普通弹幕,25,a2d53b13
梦开始的地方,0分13秒,2023--04--08 19:44:52,普通弹幕,25,e5c578f8
大鹏展翅,1分16秒,2023--04--08 19:10:16,普通弹幕,25,66c80e44
秦王扫六合，虎视何雄哉,0分51秒,2023--04--08 18:03:51,顶部弹幕,25,58bda786
。。,0分24秒,2023--04--08 17:55:18,普通弹幕,25,29fadf8c
6666,0分56秒,2023--04--08 17:18:51,普通弹幕,25,7f69d091
新来的，看看镇站之宝,0分1秒,2023--04--08 16:53:57,普通弹幕,25,40a290b5
宴请八方,0分53秒,2023--04--08 15:57:42,普通弹幕,25,c45ea47f
口 魔 妈 妈 给 我 一 袋 米 ~,1分15秒,2023--04--08 14:28:46,顶部弹幕,25,ff046945
破亿播放了！！！！！,0分1秒,2023--04--08 14:27:09,顶部弹幕,25,ff046945
牛奶  咖喱  土豆  豌豆  梨   西瓜   咸蛋,0分36秒,2023--04--08 11:38:26,普通弹幕,25,a617aada
1.4亿播放,0分0秒,2023--04--08 11:28:51,普通弹幕,25,40b61392
战国七雄,0分1秒,2023--04--08 11:27:30,普通弹幕,25,fb9313dc
战国七雄,0分33秒,2023--04--08 11:26:55,普通弹幕,25,fb9313dc
每天一遍,0分36秒,2023--04--08 09:40:27,普通弹幕,25,9cb6c149
[ohh],0分52秒,2023--04--07 23:05:46,普通弹幕,25,b8fd888a
